Event.Id,Investigation.Type,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Event.Year
20100813X61915,Accident,2010-08-13,"Rocky Mount, MO",United States,Non-Fatal,Substantial,Helicopter,BELL,206B,No,1.0,Turbo Shaft,091,,Personal,COMPUTER SERVICE PROFESSIONALS INC,0.0,0.0,0.0,1.0,VMC,,A dynamic rollover inadvertently induced by the pilot during landing.,2010.0
20100818X30857,Accident,2010-08-14,"Mack, CO",United States,Non-Fatal,Substantial,Helicopter,ROBINSON HELICOPTER,R22 BETA,No,1.0,Reciprocating,091,,Instructional,North Canyon Helicopters,0.0,0.0,0.0,2.0,VMC,,"The flight instructor's failure to maintain control of the helicopter during a practice autorotation, which resulted in a hard landing.",2010.0
20100817X21047,Accident,2010-08-16,"Warrenton, VA",United States,Non-Fatal,Substantial,Helicopter,BELL,UH1H,No,,Turbo Shaft,PUBU,,Public Aircraft - Federal,U.S. Customs and Border Protection,0.0,0.0,0.0,2.0,VMC,,The pilot receiving instruction's failure to maintain a proper pitch attitude during the practice autorotation maneuver.,2010.0
20100818X63315,Accident,2010-08-18,"Titusville, FL",United States,Non-Fatal,Substantial,Helicopter,SCHWEIZER,269C-1,No,1.0,Reciprocating,091,,Instructional,BRISTOW ACADEMY INC,0.0,0.0,0.0,2.0,VMC,,"The instructor's delayed remedial action, which resulted in a loss of rotor rpm and a hard landing.",2010.0
20100823X24521,Accident,2010-08-23,"San Diego, CA",United States,Non-Fatal,Substantial,Helicopter,ROBINSON,R44,No,1.0,Reciprocating,091,,Personal,Point Zero Corporation,0.0,0.0,1.0,0.0,VMC,,"The pilot's failure to utilize carburetor heat during initial climb, which resulted in a loss of engine power due to carburetor icing.",2010.0
20100831X45241,Accident,2010-08-31,"Kamiah, ID",United States,Fatal,Substantial,Helicopter,HILLER,UH 12E,No,1.0,Turbo Shaft,091,,Aerial Observation,Valley Helicopter,3.0,0.0,0.0,0.0,VMC,,"In-flight impact of a passenger's metal clipboard with the helicopters tail rotor, which resulted in destruction of the tail rotor and subsequent loss of control of the helicopter. The original location of the clipboard and how it became free could not be determined.",2010.0
20100831X75841,Accident,2010-08-31,"Walnut Grove, AR",United States,Fatal,Substantial,Helicopter,BELL HELICOPTER TEXTRON,206L-1,No,1.0,Turbo Shaft,091,,Positioning,AIR EVAC EMS INC,3.0,0.0,0.0,0.0,IMC,,"The pilots loss of aircraft control, due to spatial disorientation, resulting in the in-flight separation of the main rotor and tail boom.",2010.0
20100901X33544,Accident,2010-08-31,"Caldwell, ID",United States,Non-Fatal,Substantial,Helicopter,SCHWEIZER,269C,No,1.0,Reciprocating,091,,Instructional,Elkhorn Aviation Inc. dba Baker Aircraft,0.0,0.0,0.0,2.0,VMC,,"The failure of both pilots to maintain adequate main rotor RPM, the flight instructor's delayed remedial actions, and inadequate supervision of the flight.",2010.0
20100904X32616,Accident,2010-09-03,"Salinas, CA",United States,Non-Fatal,Substantial,Helicopter,BELL,47G,No,1.0,Reciprocating,091,,Positioning,Frank Gomes,0.0,0.0,1.0,0.0,IMC,,"The pilot's visual flight rules flight into instrument meteorological conditions, which resulted in his spatial disorientation and loss of helicopter control.",2010.0
20100929X01447,Accident,2010-09-03,"Tuxtlas, Mexico",Mexico,Fatal,Substantial,Helicopter,BELL,OH-58,No,,,UNK,NSCH,,,2.0,0.0,0.0,0.0,,,,2010.0
20100908X65424,Accident,2010-09-07,"Winters, CA",United States,Non-Fatal,Substantial,Helicopter,AEROSPATIALE,SA315,No,1.0,Turbo Shaft,137,,Aerial Application,Precision Helicopter,0.0,0.0,0.0,1.0,VMC,,A loss of engine power for reasons that could not be determined because postaccident examination of the airframe and engine did not reveal any anomalies that would have precluded normal operation.,2010.0
20100930X62247,Accident,2010-09-10,"Itanhaem, Brazil",Brazil,Fatal,Substantial,Helicopter,ROBINSON,R44,No,,Reciprocating,NUSN,,Unknown,AM Transportes Ltda ME,2.0,0.0,0.0,0.0,,,,2010.0
20100921X14612,Accident,2010-09-11,"Majuro, PO",United States,Fatal,Substantial,Helicopter,HUGHES,OH-6A,No,1.0,Turbo Shaft,091,,Aerial Observation,JIMS AIR REPAIR INC,1.0,1.0,0.0,0.0,VMC,,A loss of helicopter control for undetermined reasons.,2010.0
20101014X52201,Accident,2010-09-15,"Lagoa do Triunfo, Para, Brazil",Brazil,Fatal,Substantial,Helicopter,ROBINSON,R44,No,1.0,Reciprocating,NUSN,,Unknown,,4.0,0.0,0.0,0.0,,,,2010.0
20100917X24222,Accident,2010-09-16,"Mammoth, CA",United States,Non-Fatal,Substantial,Helicopter,ROBINSON HELICOPTER COMPANY,R44 II,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,2.0,0.0,VMC,,Dynamic rollover of the helicopter during a precautionary landing.,2010.0
20100916X10056,Accident,2010-09-17,"Pikes Peak, CO",United States,Non-Fatal,Substantial,Helicopter,AEROSPATIALE,AS 355F1,No,2.0,Turbo Shaft,091,,Aerial Observation,AIRCAM NATIONAL HELICOPTER SERVICES INC,0.0,3.0,1.0,0.0,VMC,,"The helicopter's encounter with an unexpected downdraft, which resulted in a hard landing.",2010.0
20100924X23946,Accident,2010-09-17,"Duluth, MN",United States,Non-Fatal,Destroyed,Helicopter,ROBINSON HELICOPTER COMPANY,R44 II,No,1.0,Reciprocating,091,,Business,Lake Superior Helicopters,0.0,1.0,0.0,0.0,VMC,,The pilot's failure to identify and arrest the helicopter's descent due to spatial disorientation.,2010.0
20100918X05923,Accident,2010-09-18,"Covington, TN",United States,Non-Fatal,Substantial,Helicopter,BELL,OH-58A,No,1.0,Turbo Shaft,137,,Aerial Application,B & S Air Inc,0.0,0.0,0.0,1.0,VMC,,A loss of engine power due to contamination of the helicopter's fuel supply.,2010.0
20100918X12923,Accident,2010-09-18,"San Pedro Sula, Honduras",Honduras,Fatal,Substantial,Helicopter,BELL,206,No,1.0,Turbo Shaft,UNK,,,Unknown,1.0,0.0,0.0,0.0,VMC,,,2010.0
20100919X72723,Accident,2010-09-19,"Halifax, MA",United States,Fatal,Substantial,Helicopter,SCHULMAN,MOSQUITO XEL,Yes,1.0,Reciprocating,091,,Personal,,1.0,0.0,0.0,0.0,VMC,,The pilot's loss of control while hovering. Contributing to the accident was the pilots limited experience operating the helicopter make and model.,2010.0
20100927X10441,Accident,2010-09-20,"Schaumburg, IL",United States,Non-Fatal,Substantial,Helicopter,SCHWEIZER,269C,No,1.0,Reciprocating,091,,Instructional,BACHMAN AERO,0.0,0.0,0.0,2.0,VMC,,The in-flight separation of the left aft cluster fitting assembly following the loss of torque on the lock nut due to a manufacturing defect.,2010.0
20100921X94616,Accident,2010-09-21,"Mecca, CA",United States,Non-Fatal,Substantial,Helicopter,HILLER,UH-12E,No,1.0,Reciprocating,137,,Aerial Application,Brad Bertling,0.0,1.0,0.0,0.0,VMC,,The pilot's failure to maintain clearance from an obstacle while maneuvering.,2010.0
20100923X80619,Accident,2010-09-22,"Brooklyn, NY",United States,Non-Fatal,Substantial,Helicopter,BELL,412,No,2.0,Turbo Shaft,PUBU,,Public Aircraft - Local,New York City Police Aviation Unit,0.0,6.0,0.0,0.0,VMC,,"The fatigue fracture of the reduction gearbox output drive gear, which resulted in the loss of power output from the engines to the helicopter rotor blade system and a subsequent forced landing. The fracture of the output drive gear was caused by a fatigue crack that originated in a helical tooth root most likely as a result of hydrogen embrittlement during the manufacturing process.",2010.0
20100924X35823,Accident,2010-09-24,"Taylorsville, MS",United States,Non-Fatal,Substantial,Helicopter,BELL,OH-58A,No,1.0,Turbo Shaft,137,,Aerial Application,Cahaba Forestry Services,0.0,0.0,1.0,0.0,VMC,,A total loss of engine power while maneuvering at low altitude for undetermined reasons.,2010.0
20100925X01917,Accident,2010-09-24,"Covington, GA",United States,Non-Fatal,Substantial,Helicopter,EUROCOPTER,AS-350,No,1.0,Turbo Shaft,PUBU,,Public Aircraft - Local,Dekalb County Police Services,0.0,2.0,0.0,0.0,VMC,,"The flight instructor's loss of control of the helicopter during the intentional demonstration of a low speed, hydraulics-off maneuver, that was warned against in the helicopter manufacturer's flight manual.",2010.0
20100925X54904,Accident,2010-09-25,"Pattison, TX",United States,Fatal,Substantial,Helicopter,WORTHINGTON,ROTORWAY,Yes,1.0,Reciprocating,091,,Personal,William S. Worthington,1.0,0.0,0.0,0.0,VMC,,"The pilot's failure to maintain main rotor rpm, which resulted in an uncontrolled descent and collision with terrain.",2010.0
20100927X02720,Accident,2010-09-26,"Gaston, OR",United States,Non-Fatal,Substantial,Helicopter,BELL,47G,No,1.0,Turbo Shaft,137,,Aerial Application,"Farm and Forest Helicopter Service, Inc.",0.0,0.0,0.0,1.0,VMC,,The pilot's failure to maintain tail rotor clearance while landing on a transport trailer positioned on an uneven surface.,2010.0
20100930X45434,Accident,2010-09-30,"Portland, OR",United States,Non-Fatal,Substantial,Helicopter,ROBINSON,R22,No,1.0,Reciprocating,091,,Instructional,Hillsboro Aviation Inc,0.0,0.0,0.0,1.0,VMC,,"The student pilot's decision to hover-taxi behind a jet, resulting in the helicopter encountering jet wash and rolling over.",2010.0
20101001X41322,Accident,2010-10-01,"Meadview, AZ",United States,Non-Fatal,Substantial,Helicopter,EUROCOPTER,EC130,No,1.0,Turbo Shaft,135,NSCH,,Maverick Helicopter,0.0,0.0,0.0,7.0,VMC,,"The pilot's distraction with another departing helicopter while maneuvering in a hover for departure, which resulted in his failure to maintain clearance between the tail rotor and an umbrella.",2010.0
20101007X32553,Accident,2010-10-06,"Titusville, FL",United States,Non-Fatal,Substantial,Helicopter,SCHWEIZER,269C-1,No,1.0,Reciprocating,091,,Personal,BRISTOW ACADEMY INC,0.0,0.0,0.0,2.0,VMC,,An inadvertent in-flight collision with a bird.,2010.0
20101008X62452,Accident,2010-10-08,"Scappoose, OR",United States,Non-Fatal,Substantial,Helicopter,ROBINSON,R22,No,1.0,Reciprocating,091,,Instructional,Hillsboro Aviation Inc,0.0,0.0,0.0,2.0,VMC,,The student pilots failure to maintain helicopter control during the landing flare and his subsequent interference with the flight instructor's control inputs. Contributing to the accident was the flight instructors inadequate supervision.,2010.0
20101012X62650,Accident,2010-10-12,"Long Beach, CA",United States,Non-Fatal,Substantial,Helicopter,ROBINSON HELICOPTER,R22 BETA,No,1.0,Reciprocating,091,,Instructional,Temco Sky Networks,0.0,0.0,1.0,1.0,VMC,,"The student pilot's failure to maintain an adequate drift control and skid clearance from the ground and the CFI's inadequate supervision while hovering, resulting in dynamic rollover.",2010.0
20101019X13052,Accident,2010-10-13,"Newton, TX",United States,Non-Fatal,Substantial,Helicopter,BELL,206B,No,1.0,Turbo Shaft,137,,Aerial Application,HEARTLAND HELICOPTER LEASING INC,0.0,0.0,0.0,1.0,VMC,,The pilots attempted takeoff with the fuel hose attached to the helicopter and the pilot and ground crews failure to accurately communicate.,2010.0
20101015X90110,Accident,2010-10-14,"Auburn, CA",United States,Non-Fatal,Substantial,Helicopter,BELL,206B,No,1.0,Turbo Shaft,091,NSCH,Positioning,WHIRLWIDE INC,0.0,0.0,0.0,2.0,VMC,,The pilot's failure to maintain clearance from a transmission line during flight.,2010.0
20101015X73141,Accident,2010-10-15,"Clarkson Valley, MO",United States,Fatal,Substantial,Helicopter,BELL,206B,No,1.0,Turbo Shaft,091,,Public Aircraft - State,MISSOURI STATE HIGHWAY PATROL,1.0,0.0,0.0,0.0,VMC,,"The total loss of engine power due to fuel exhaustion, which resulted from the pilot's inadequate preflight planning and decision-making, and his improper control inputs following the loss of engine power, which resulted in mast bumping and separation of the main rotor. Contributing to the accident was the pilot's improper judgment in acting as a pilot with disqualifying medical conditions.",2010.0
20101115X31938,Accident,2010-10-15,"Minatitlan Veracruz, Mexico",Mexico,Fatal,Substantial,Helicopter,BELL,212,No,1.0,Turbo Shaft,UNK,,,,8.0,0.0,0.0,0.0,,,,2010.0
20101019X94819,Accident,2010-10-16,"Englewood, CO",United States,Non-Fatal,Substantial,Helicopter,SCHWEIZER,269C,No,1.0,Reciprocating,091,,Instructional,Mountain One Helicopters,0.0,0.0,0.0,1.0,VMC,,The student pilots failure to maintain directional control of the helicopter during landing.,2010.0
20101029X90010,Accident,2010-10-23,"New Castle, United Kingdom",United Kingdom,Fatal,Destroyed,Helicopter,AGUSTA,A109,No,,,NUSN,NSCH,Business,N2NR INC Trustee,3.0,0.0,0.0,0.0,,,,2010.0
20101101X21849,Accident,2010-10-29,"Prescott, AZ",United States,Non-Fatal,Substantial,Helicopter,ROBINSON HELICOPTER,R22 BETA,No,1.0,Reciprocating,091,,Instructional,Guidance Helicopters,0.0,2.0,0.0,0.0,VMC,,"The student pilot's failure to maintain the proper airspeed and the certificated flight instructor's inadequate supervision and delayed remedial action during a practice autorotation, which resulted in a hard landing and rollover.",2010.0
20101030X30541,Accident,2010-10-30,"Thomas, WV",United States,Fatal,Substantial,Helicopter,MD HELICOPTERS INC,369E,No,1.0,Turbo Shaft,133,,External Load,Winco Inc.,1.0,2.0,1.0,0.0,VMC,,"The pilot's failure to clear the helicopter and its external load from surrounding structures and his failure to execute a timely release of the external load, which resulted in an inadvertent entanglement and collision with wires and terrain. Contributing to the lineman's fatal injury was his position outside of the helicopter during the accident.",2010.0
20101103X83727,Accident,2010-11-03,"Meeker, CO",United States,Fatal,Substantial,Helicopter,BELL,206,No,1.0,Turbo Shaft,091,,Other Work Use,MILE HIGH HELICOPTER COMPANY,1.0,0.0,1.0,0.0,VMC,,The pilot's failure to maintain clearance from electrical power lines during the low-altitude flight.,2010.0
20101110X42226,Accident,2010-11-09,"Rolleston, Australia, Australia",Australia,Fatal,Substantial,Helicopter,ROBINSON,R22,No,1.0,Reciprocating,NUSN,,Unknown,,1.0,0.0,0.0,0.0,VMC,,,2010.0
20101112X34929,Accident,2010-11-12,"Pacoima, CA",United States,Non-Fatal,Substantial,Helicopter,EUROCOPTER,AS350B2,No,1.0,Turbo Shaft,091,,Aerial Observation,"Tiny Bubbles, Inc.",0.0,0.0,0.0,2.0,VMC,,"
The contamination of a spool bearing in the power turbine governor during manufacture, which led to the bearings failure in flight, a subsequent loss of engine power during departure, and the resultant hard landing.",2010.0
20101116X70645,Accident,2010-11-13,"Trujillo, Colombia",Colombia,Fatal,Destroyed,Helicopter,BELL,412EP,No,2.0,Turbo Shaft,NUSN,,Business,ASESA,3.0,0.0,0.0,0.0,IMC,,,2010.0
20101114X90431,Accident,2010-11-14,"Post, TX",United States,Fatal,Substantial,Helicopter,BRANTLY,B-2B,No,1.0,Reciprocating,091,,Personal,BEACH PAUL A,1.0,0.0,1.0,1.0,VMC,,The pilot's decision to operate the helicopter over the maximum gross weight and forward of the recommended center of gravity.,2010.0
20101115X92934,Accident,2010-11-14,"Broomfield, TX",United States,Non-Fatal,Substantial,Helicopter,SCHWEIZER,300C,No,1.0,Reciprocating,091,,Personal,Mountain One Helicopters,0.0,0.0,0.0,2.0,VMC,,"The pilots inadequate fuel planning, which resulted in a loss of engine power due to fuel exhaustion. Contributing to the accident was the pilot's improper execution of an autorotation, which resulted in a hard landing.",2010.0
20101115X55905,Accident,2010-11-15,"Madison, FL",United States,Non-Fatal,Substantial,Helicopter,HILLER-ROGERSON HELICOPTER,UH12E,No,1.0,Turbo Shaft,137,,Aerial Application,SUMMIT HELICOPTERS INC,0.0,0.0,0.0,1.0,VMC,,"The pilot's encounter with a settling with power condition while he was performing slow, low-level, out-of- ground-effect flight maneuvers.",2010.0
20101115X73149,Accident,2010-11-15,"Salem, OR",United States,Non-Fatal,Substantial,Helicopter,MD HELICOPTER,369D,No,1.0,Turbo Shaft,133,,External Load,"Precision Helicopters, Inc.",0.0,0.0,1.0,0.0,VMC,,"The pilots failure to maintain clearance between the longline and trees, which resulted in the longline snagging a tree and then recoiling into the main rotor blades and a subsequent loss of helicopter control.",2010.0
20101122X91647,Accident,2010-11-22,"Riverdale, UT",United States,Non-Fatal,Substantial,Helicopter,BELL,407,No,1.0,Turbo Shaft,091,,Positioning,Air Methods,0.0,0.0,0.0,3.0,VMC,,The pilot's failure to maintain clearance from a highway marker sign while maneuvering.,2010.0
20101208X00511,Accident,2010-12-08,"Pahokee, FL",United States,Non-Fatal,Substantial,Helicopter,ROBINSON HELICOPTER COMPANY,R44 II,No,1.0,Reciprocating,091,,Instructional,DOWNRITE ENGINEERING CORP,0.0,0.0,0.0,2.0,VMC,,The pilot's failure to maintain control of the helicopter during takeoff.,2010.0
20101208X25632,Accident,2010-12-08,"Canal Point, FL",United States,Non-Fatal,Substantial,Helicopter,BELL,206L-3,No,1.0,Turbo Shaft,091,,Other Work Use,HMC Helicopter Services Inc,0.0,0.0,1.0,0.0,VMC,,The pilot's failure to maintain clearance from the ground while maneuvering at a low altitude. Contributing to the accident was the pilots fatigue.,2010.0
20101208X83657,Accident,2010-12-08,"Canal Point, FL",United States,Non-Fatal,Substantial,Helicopter,ROBINSON HELICOPTER,R44,No,1.0,Reciprocating,091,,Other Work Use,Bravo Helicopters,0.0,0.0,0.0,1.0,VMC,,Pilot fatigue due to lack of sleep resulting in incapacitation (falling asleep) and ground contact while maneuvering at a low altitude.,2010.0
20101213X65626,Accident,2010-12-09,"Tourrettes-sur-Loup, France",France,Fatal,Destroyed,Helicopter,ROBINSON,R22,No,1.0,,NUSN,,Personal,,2.0,0.0,0.0,0.0,VMC,,,2010.0
20101210X72430,Accident,2010-12-10,"Isom, KY",United States,Non-Fatal,Substantial,Helicopter,BELL,206B,No,1.0,Turbo Shaft,135,NSCH,,"Albatross Air, Inc.",0.0,1.0,0.0,2.0,VMC,,The pilot's failure to maintain clearance from a known wire hazard during an aerial observation flight.,2010.0
20101220X81957,Accident,2010-12-19,"La Monte, MO",United States,Non-Fatal,Substantial,Helicopter,EUROCOPTER,AS350-B2,No,1.0,Turbo Shaft,091,,Positioning,Air Methods Corporation,0.0,0.0,3.0,0.0,VMC,,"An interruption of fuel to the engine due to air in the fuel lines, which resulted in an engine flameout and the total loss of engine power. The reason for air in the fuel line resulting in an engine flameout could not be determined because postaccident testing did not reveal the mechanism that would lead to such a result.",2010.0
20101229X80219,Accident,2010-12-21,"Aracuju, Brazil",Brazil,Fatal,Substantial,Helicopter,BELL,206,No,1.0,Turbo Shaft,NUSN,,Unknown,Floyne Servico Aereo Expecializado Ltda,1.0,1.0,0.0,0.0,,,,2010.0
20101223X93354,Accident,2010-12-22,"Hemphill, TX",United States,Non-Fatal,Substantial,Helicopter,ROBINSON HELICOPTER COMPANY,R44 II,No,1.0,Reciprocating,091,,Personal,TGB Equipment Leasing LLC,0.0,2.0,0.0,0.0,VMC,,The student pilots improper decision to carry an unauthorized passenger and the passengers loss of control of the helicopter during take-off.,2010.0
20110110X63725,Accident,2010-12-28,"Jena-Isserstedt, Germany",Germany,Non-Fatal,Destroyed,Helicopter,MCDONNELL DOUGLAS,600,No,,,NUSN,,Unknown,Kurt Wagner,0.0,1.0,2.0,0.0,VMC,,,2010.0
20110105X95224,Accident,2010-12-29,"Cherry Point, NC",United States,Non-Fatal,Substantial,Helicopter,EUROCOPTER,MBB-BK,No,2.0,Turbo Shaft,135,NSCH,,Air Methods,0.0,0.0,0.0,3.0,VMC,,The pilot's impairment during cruise flight due to a recurring stroke. Contributing to the accident was the Federal Aviation Administration's inadequate oversight of the pilot's known medical condition.,2010.0
20110113X14327,Accident,2011-01-02,"Albert Lea, MN",United States,Non-Fatal,Substantial,Helicopter,EUROCOPTER DEUTSCHLAND GMBH,MBB-BK 117 C-2,No,2.0,Turbo Shaft,091,NSCH,Positioning,"Omniflight Helicopters, Inc.",0.0,0.0,0.0,3.0,VMC,,"The pilot's inadequate preflight inspection of the engine cowling latches prior the flight, which resulted in the cowling door opening in-flight and striking the main rotor blades.",2011.0
20110119X34031,Accident,2011-01-14,"Ocho Rios, Jamaica",Jamaica,Non-Fatal,Substantial,Helicopter,BELL,206B III,No,1.0,Turbo Shaft,NUSC,NSCH,,Captain's Aviation Services Limited,0.0,0.0,0.0,3.0,,,,2011.0
20110116X83100,Accident,2011-01-15,"Stuart, FL",United States,Non-Fatal,Substantial,Helicopter,SCHWEIZER,269C-1,No,1.0,Reciprocating,091,,Instructional,BRISTOW ACADEMY INC,0.0,0.0,0.0,1.0,VMC,,"The student pilot's inadvertent activation of the collective control, which allowed the helicopter to become airborne and impact the ramp.",2011.0
20110118X03801,Accident,2011-01-15,"Three Forks, MT",United States,Non-Fatal,Substantial,Helicopter,BELL,206B3,No,1.0,Turbo Shaft,091,,Personal,Skymission LLC,0.0,0.0,0.0,2.0,VMC,,The pilots inadequate use of throttle during the practice autorotation that resulted in a hard landing.,2011.0
20110121X10839,Accident,2011-01-17,"Cuzco, Peru",Peru,Non-Fatal,Substantial,Helicopter,BELL,212,No,,,NUSN,,Unknown,Heliamerica S.A.C.,0.0,0.0,0.0,5.0,,,,2011.0
20110203X71459,Accident,2011-01-20,"Northland, New Zealand, New Zealand",New Zealand,Non-Fatal,Destroyed,Helicopter,BELL,206,No,1.0,Turbo Shaft,129,NSCH,,Finlayson Helicopters Ltd.,0.0,1.0,0.0,0.0,,,,2011.0
20110202X94207,Accident,2011-01-29,"Anoka, MN",United States,Non-Fatal,Substantial,Helicopter,ROBINSON HELICOPTER,R22 BETA,No,1.0,Reciprocating,091,,Instructional,COMPLETE HELICOPTERS INC,0.0,0.0,1.0,1.0,VMC,,The student pilot's control inputs that resulted in an inadvertent dynamic rollover and the CFI's inadequate supervision of the flight.,2011.0
20110131X92536,Accident,2011-01-31,"Marana, AZ",United States,Fatal,Substantial,Helicopter,MCDONNELL DOUGLAS HELI CO,369FF,No,1.0,Turbo Shaft,PUBU,,Public Aircraft - Local,Pima County Sheriff's Department,1.0,1.0,2.0,0.0,VMC,,"An inadvertent tail rotor strike during an attempted pinnacle landing, which resulted in the pilot's loss of control of the helicopter. Inhospitable terrain/topography contributed to the severity of the accident.",2011.0
20110203X11204,Accident,2011-02-04,"Ogden, UT",United States,Non-Fatal,Substantial,Helicopter,ROBINSON,R44,No,1.0,Reciprocating,091,,Instructional,Whirlybird Helicopters LLC,0.0,0.0,0.0,2.0,VMC,,"The certified flight instructors failure to maintain adequate main rotor blade rpm during a practice autorotation, resulting in a hard landing and rollover.",2011.0
20110204X91152,Accident,2011-02-04,"Elverta, CA",United States,Non-Fatal,Substantial,Helicopter,MCDONNELL DOUGLAS HELICOPTERS,369E (MD500E),No,1.0,Turbo Shaft,133,,Other Work Use,Wilson Construction Company,0.0,2.0,0.0,0.0,VMC,,The pilot did not maintain rotor blade clearance from an installation rope while maneuvering to install power lines.,2011.0
20110208X34642,Accident,2011-02-04,"Cessnock, Australia, Australia",Australia,Fatal,Substantial,Helicopter,ROBINSON,R44,No,1.0,Reciprocating,NUSN,,Unknown,Aero Logistics Pty,2.0,0.0,1.0,0.0,,,,2011.0
20110216X52308,Accident,2011-02-09,"El Tocuyo, Venezuela",Venezuela,Fatal,Destroyed,Helicopter,"SCOTTS-BELL 47, INC.",47G-4A,No,1.0,Reciprocating,NUSN,,Aerial Application,Fumiteca,1.0,0.0,0.0,0.0,VMC,,,2011.0
20110223X01821,Accident,2011-02-18,"Vereda Galan, Colombia",Colombia,Fatal,Destroyed,Helicopter,BELL,206,No,1.0,,NUSN,,Business,HELISERVICE LTDA,4.0,0.0,0.0,0.0,IMC,,,2011.0
20110223X85903,Accident,2011-02-23,"Henryetta, OK",United States,Non-Fatal,Substantial,Helicopter,HUGHES,369D,No,1.0,Turbo Shaft,133,,External Load,"Aerial Solutions, Inc.",0.0,0.0,0.0,1.0,VMC,,Failure of the cyclic control system for reasons undetermined.,2011.0
20110223X03740,Accident,2011-02-24,"Riverside, CA",United States,Non-Fatal,Substantial,Helicopter,EUROCOPTER,AS 350 B2,No,1.0,Turbo Shaft,PUBU,,Public Aircraft - Local,COUNTY OF LOS ANGELES,0.0,2.0,0.0,0.0,VMC,,The failure of both pilots to follow proper procedures during a simulated hydraulic emergency that resulted in a loss of helicopter control. Contributing to the accident was the flight instructors delayed remedial action.,2011.0
20110224X84256,Accident,2011-02-24,"Ridgeland, SC",United States,Non-Fatal,Substantial,Helicopter,BELL,206,No,1.0,Turbo Shaft,091,,Instructional,LADY ALICE CORP,0.0,0.0,0.0,2.0,VMC,,"The certified flight instructor's delayed remedial action during a practice autorotation, which resulted in a hard landing.",2011.0
20110226X81430,Accident,2011-02-26,"Fort Pierce, FL",United States,Non-Fatal,Substantial,Helicopter,ENSTROM,F-28C,No,1.0,Reciprocating,091,,Other Work Use,DISK COPY INC,0.0,2.0,0.0,1.0,VMC,,"The pilot's improper fuel management, which resulted in a loss of engine power due to fuel exhaustion.",2011.0
20110226X82559,Accident,2011-02-26,"Colusa, CA",United States,Non-Fatal,Substantial,Helicopter,HILLER,UH-12E,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,2.0,VMC,,The pilot's failure to maintain an adequate airspeed and an inadvertent encounter with settling with power while flying downwind.,2011.0
20110302X25118,Accident,2011-03-01,"Tooele, UT",United States,Non-Fatal,Substantial,Helicopter,BELL,206B-III,No,1.0,Turbo Shaft,091,,Other Work Use,Upper Limit Aviation,0.0,0.0,0.0,2.0,VMC,,The pilot did not maintain yaw control of the helicopter during a maneuvering hover. Contributing to the accident was the pilots lack of experience in the make and model helicopter.,2011.0
20110306X84105,Accident,2011-03-01,"Glenwood Springs, CO",United States,Non-Fatal,Substantial,Helicopter,ROBINSON HELICOPTER COMPANY,R44 II,No,1.0,Reciprocating,091,,Personal,244 Charlie Delta LLC,0.0,0.0,0.0,1.0,VMC,,"The pilots improper takeoff procedure, which resulted in a dynamic rollover when the left skid contacted the ground.",2011.0
20110712X85043,Accident,2011-03-01,"Forestville, Canada",Canada,Non-Fatal,Substantial,Helicopter,ROBINSON,R44,No,,,UNK,,,,0.0,2.0,0.0,0.0,,,,2011.0
20110303X04000,Accident,2011-03-02,"Birmingham, AL",United States,Non-Fatal,Substantial,Helicopter,BELL,206-L4,No,1.0,Turbo Shaft,091,,Flight Test,OMNIFLIGHT HELICOPTERS INC,0.0,0.0,0.0,1.0,VMC,,A total loss of engine power for undetermined reasons.,2011.0
20110306X81934,Accident,2011-03-05,"Weston, FL",United States,Non-Fatal,Substantial,Helicopter,ROBINSON HELICOPTER COMPANY,R44 II,No,1.0,Reciprocating,091,,Personal,"Bravo Helicopters, Inc.",0.0,0.0,1.0,0.0,VMC,,The pilot's failure to maintain adequate altitude and physical alertness which resulted in an in-flight collision with the water. Contributing to the accident was the pilot's fatigue.,2011.0
20110308X74656,Accident,2011-03-08,"Meeker, CO",United States,Non-Fatal,Substantial,Helicopter,HUGHES,369D,No,1.0,Turbo Shaft,PUBU,,Public Aircraft,QUICKSILVER AIR INC,0.0,1.0,0.0,1.0,,,Main rotor contact with the tail boom resulting in tail boom separation.,2011.0
20110315X92250,Accident,2011-03-09,"Bulverde, TX",United States,Non-Fatal,Substantial,Helicopter,ROBINSON HELICOPTER,R22 BETA,No,1.0,Reciprocating,091,,Instructional,HELIFLIGHT LEASING LLC,0.0,0.0,0.0,2.0,VMC,,"The in-flight separation of the fuel cap, which impacted the helicopters tail rotor and resulted in the loss of tail rotor thrust.  Contributing to the accident was the inadequate preflight inspection by both pilots, who did not ensure that the fuel cap was securely tightened before flight.",2011.0
